category,price_inr_mean,price_inr_median,price_inr_std,price_inr_min,price_inr_max,rating_mean,rating_median,rating_std,rating_min,rating_max,rating_count_mean,rating_count_median,rating_count_std,rating_count_min,rating_count_max
Vegetable Delight,202.22,170.0,50.94,160.0,270.0,4.28,4.3,0.7,2.6,5.0,22.78,17.0,20.27,3,58
Vegetable Dishes,131.25,105.0,44.86,100.0,220.0,4.35,4.3,0.39,3.9,4.8,25.62,26.5,12.09,5,48
Vegetable Dosa,131.0,139.0,12.39,115.0,139.0,4.3,4.45,0.45,3.4,4.6,179.0,138.5,137.95,67,443
Vegetable Dosa's,127.0,127.0,12.65,115.0,139.0,4.26,4.3,0.35,3.5,4.9,59.8,53.0,52.8,9,198
Vegetable Garden,169.52,169.0,28.4,125.0,225.0,4.27,4.3,0.25,3.7,4.9,236.7,184.0,228.39,6,837
Vegetables,302.15,317.5,80.46,100.0,429.0,4.18,4.45,0.82,2.3,5.0,10.56,5.5,12.58,1,52
Vegetables Gravy,211.0,209.0,60.99,119.0,289.0,3.84,4.3,1.16,2.0,5.0,7.4,4.0,6.43,3,18
Vegetables Items,129.17,125.0,9.73,125.0,150.0,4.43,4.5,0.25,3.9,4.7,98.33,38.5,213.97,7,776
Vegetables Main Course,285.0,285.0,7.07,280.0,290.0,4.45,4.45,0.21,4.3,4.6,38.5,38.5,6.36,34,43
Vegetarian,265.54,265.0,76.09,39.0,396.0,4.49,4.55,0.44,3.2,5.0,18.83,10.0,21.29,4,82
Vegetarian Delights,208.09,229.0,69.35,79.0,309.0,4.07,4.3,0.51,3.0,4.5,72.09,28.0,88.26,12,295
Vegetarian Main Course Chinese,525.0,525.0,91.92,460.0,590.0,4.9,4.9,0.0,4.9,4.9,7.5,7.5,9.19,1,14
Vegetarian Main Course Indian,462.31,470.0,15.89,430.0,490.0,4.44,4.5,0.55,2.8,5.0,37.15,7.0,89.65,3,331
Vegetarian Main Course Paneer,490.0,490.0,0.0,490.0,490.0,4.55,4.4,0.33,4.2,5.0,39.75,29.0,38.98,1,96
"Vegetarian Tandoor, Indian & Chinese Starters",224.62,224.0,56.67,153.0,299.0,4.15,4.3,0.91,2.0,4.9,12.25,10.5,6.88,5,23
Vegeterian,325.0,325.0,,325.0,325.0,3.3,3.3,,3.3,3.3,4.0,4.0,,4,4
"Veggie Rolls [Big 9""]",189.0,169.0,38.99,169.0,299.0,4.2,4.2,0.55,3.4,5.0,4.91,4.0,3.08,1,11
Veggies Seafood Special,483.33,490.0,70.24,410.0,550.0,3.93,4.0,1.1,2.8,5.0,8.67,4.0,8.08,4,18
Viennoiserie,188.98,184.4,44.32,138.3,253.5,4.36,4.6,0.9,2.8,5.0,6.0,3.0,4.8,2,13
Vip Special,260.0,260.0,,260.0,260.0,4.9,4.9,,4.9,4.9,3.0,3.0,,3,3
Viral Dubai Chocolate Special,374.28,261.9,224.76,261.9,711.42,4.18,4.4,0.6,3.3,4.6,2.5,1.0,3.0,1,7
WE Combos [FREE items upto Rs.280],499.0,499.0,0.0,499.0,499.0,3.8,3.8,0.42,3.5,4.1,1.0,1.0,0.0,1,1
WOK,281.2,285.0,46.77,199.0,325.0,3.99,3.95,0.92,2.7,5.0,7.3,6.0,6.88,1,20
WONTON,219.0,229.0,17.32,199.0,229.0,4.8,4.8,0.2,4.6,5.0,40.67,11.0,56.66,5,106
WRAPS,188.78,164.0,55.95,114.0,269.0,4.28,4.4,0.46,2.4,4.7,217.74,120.0,225.39,2,903
WRAPS AND MEALS,258.98,244.2,53.71,194.2,349.2,4.37,4.4,0.37,3.6,5.0,34.04,18.0,33.25,2,127
Wada,127.5,140.0,37.75,75.0,155.0,4.78,4.75,0.21,4.6,5.0,54.25,10.0,93.4,3,194
Wadai,175.0,175.0,7.07,170.0,180.0,4.9,4.9,0.14,4.8,5.0,16.0,16.0,9.9,9,23
Waffle,120.0,120.0,,120.0,120.0,2.4,2.4,,2.4,2.4,3.0,3.0,,3,3
Waffle Cakes,481.67,410.0,124.13,410.0,625.0,4.53,4.5,0.45,4.1,5.0,4.67,4.0,2.08,3,7
Waffle Sundae,142.0,130.0,16.43,130.0,160.0,3.74,3.7,0.5,3.2,4.5,22.8,26.0,7.98,10,31
Waffle Wonders,409.5,409.5,14.85,399.0,420.0,4.2,4.2,0.85,3.6,4.8,2.5,2.5,0.71,2,3
Waffle-Pancake with Ice Cream,175.0,180.0,34.06,135.0,215.0,4.22,4.35,0.81,2.7,5.0,19.83,6.5,27.77,2,74
Waffles,168.16,175.0,26.05,105.0,195.0,4.43,4.5,0.27,3.9,4.9,103.63,51.0,141.86,4,567
Waffles And Crepes (bakersestate X Amoruccio),350.0,350.0,,350.0,350.0,2.0,2.0,,2.0,2.0,3.0,3.0,,3,3
Waffles and Pancakes,502.33,500.5,54.19,440.0,572.0,4.5,4.45,0.32,4.1,5.0,3.5,2.5,1.97,2,6
Wah chicken thali,270.0,270.0,,270.0,270.0,4.8,4.8,,4.8,4.8,5.0,5.0,,5,5
Warps N Sandwich,115.0,115.0,7.07,110.0,120.0,4.45,4.45,0.21,4.3,4.6,12.5,12.5,2.12,11,14
Water Bottle,70.1,70.1,56.7,30.0,110.19,4.6,4.6,0.57,4.2,5.0,19.5,19.5,23.33,3,36
Water& Plate,10.0,10.0,,10.0,10.0,4.4,4.4,,4.4,4.4,592.0,592.0,,592,592
Wazwaan,354.67,330.0,121.71,150.0,600.0,4.18,4.1,0.49,3.3,4.9,16.73,11.0,15.48,5,54
We Recommend,289.0,289.0,,289.0,289.0,4.4,4.4,,4.4,4.4,1.0,1.0,,1,1
WeFit Grilled Protein,261.58,249.0,33.06,229.0,299.0,4.53,4.7,0.43,3.5,5.0,7.29,5.0,5.53,1,21
WeFit Keto Meals,288.17,299.0,20.21,249.0,299.0,4.68,4.7,0.28,4.2,5.0,2.75,2.0,2.05,1,8
WeFit Multigrain Sandwiches,228.66,229.0,59.37,149.0,399.0,4.64,4.6,0.14,4.4,5.0,5.38,3.0,5.8,1,26
WeFit Protein Bowls,325.0,299.0,82.22,299.0,559.0,4.35,4.6,0.65,3.2,5.0,6.9,5.5,6.49,1,20
WeFit Super Salads,254.0,259.0,19.75,219.0,269.0,4.32,4.4,0.5,3.6,5.0,3.17,2.5,2.4,1,7
Weekend Combo,180.0,180.0,,180.0,180.0,4.7,4.7,,4.7,4.7,101.0,101.0,,101,101
